id,name_en,name_kr,trigger,category,param_type,param_value,secondary_param_type,secondary_param_value,target,description_en,description_kr
1,Stench,악취,SPECIAL_LOGIC,SPECIAL_LOGIC,,,,,NONE,"By releasing a stench when attacking, the Pokemon may cause the target to flinch.","공격 시 악취를 풍겨 상대를 풀죽게 할 때가 있으며, 필드에서 야생 포켓몬 조우율을 낮춘다."
2,Drizzle,잔비,ON_SWITCH_IN,WEATHER_CHANGE,RAIN,5,,,FIELD,The Pokemon makes it rain when it enters a battle.,배틀에 나가면 날씨를 비로 바꾼다.
3,Speed Boost,가속,ON_END_TURN,STAT_CHANGE,SPEED,1,,,SELF,The Pokemon's Speed stat is boosted every turn.,매 턴 스피드가 1랭크씩 올라간다.
4,Battle Armor,전투무장,PASSIVE,EFFECT_IMMUNITY,CRITICAL_HIT,,,,SELF,Hard armor protects the Pokemon from critical hits.,단단한 갑옷에 싸여 상대의 공격이 급소에 맞지 않는다.
5,Sturdy,옹골참,PASSIVE,SURVIVE_LETHAL,MIN_HP,1,,,SELF,The Pokemon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.,HP가 꽉 찼을 때 기술을 받아도 일격에 쓰러지지 않는다. 일격필살 기술의 효과도 받지 않는다.
6,Damp,습기,PASSIVE,MOVE_IMMUNITY,EXPLOSION,,,,FIELD,"The Pokemon dampens its surroundings, preventing all Pokemon from using explosive moves such as Self-Destruct.",주변을 습하게 함으로써 자폭 등 폭발하는 기술을 아무도 못 쓰게 한다.
7,Limber,유연,PASSIVE,STATUS_IMMUNITY,PARALYSIS,,,,SELF,The Pokemon's limber body prevents it from being paralyzed.,유연한 몸으로 인해 마비 상태가 되지 않는다.
8,Sand Veil,모래숨기,ON_WEATHER,STAT_MODIFIER,EVASION,1.25,,,SELF,Boosts the Pokemon's evasiveness in a sandstorm.,모래바람일 때 회피율이 올라간다.
9,Static,정전기,ON_CONTACT,PRIMARY_STATUS,PARALYSIS,0.3,,,ATTACKER,The Pokemon is charged with static electricity and may paralyze attackers that make direct contact with it.,정전기를 몸에 둘러 자신에게 접촉한 상대를 마비시킬 때가 있다.
10,Volt Absorb,축전,ON_HIT_BY_TYPE,HEAL,ELECTRIC,0.25,,,SELF,"If hit by an Electric-type move, the Pokemon has its HP restored instead of taking damage.",전기타입의 기술로 공격받으면 데미지를 받지 않고 회복한다.
11,Water Absorb,저수,ON_HIT_BY_TYPE,HEAL,WATER,0.25,,,SELF,"If hit by a Water-type move, the Pokemon has its HP restored instead of taking damage.",물타입의 기술로 공격받으면 데미지를 받지 않고 회복한다.
12,Oblivious,둔감,PASSIVE,STATUS_IMMUNITY,STATUS_LIST,"ATTRACT,TAUNT,INTIMIDATE",,,SELF,"The Pokemon is oblivious, keeping it from being infatuated, falling for taunts, or being affected by Intimidate.",둔감해서 헤롱헤롱이나 도발 상태가 되지 않는다. 위협을 당해도 동요하지 않는다.
13,Cloud Nine,날씨부정,ON_SWITCH_IN,FIELD_EFFECT_NEGATE,WEATHER,,,,FIELD,Eliminates the effects of weather.,모든 날씨의 영향이 없어진다.
14,Compound Eyes,복안,PASSIVE,STAT_MODIFIER,ACCURACY,1.3,,,SELF,The Pokemon's compound eyes boost its accuracy.,복안을 가지고 있어 기술의 명중률이 올라간다.
15,Insomnia,불면,PASSIVE,STATUS_IMMUNITY,SLEEP,,,,SELF,The Pokemon's insomnia prevents it from falling asleep.,잠들지 못하는 체질이라 잠듦 상태가 되지 않는다.
16,Color Change,변색,ON_HIT_BY_MOVE,TYPE_CHANGE,MOVE_TYPE,,,,SELF,The Pokemon's type becomes the type of the move used on it.,상대에게 받은 기술의 타입으로 자신의 타입이 변화한다.
17,Immunity,면역,PASSIVE,STATUS_IMMUNITY,POISON,,,,SELF,The Pokemon's immune system prevents it from being poisoned.,체내에 면역을 가지고 있어 독 상태가 되지 않는다.
18,Flash Fire,타오르는불꽃,ON_HIT_BY_TYPE,ABSORB_BOOST,FIRE,1.5,,,SELF,"If hit by a Fire-type move, the Pokemon absorbs the flames and uses them to power up its own Fire-type moves.",불꽃타입의 기술로 공격받으면 불꽃을 받아서 자신이 사용하는 불꽃타입의 기술이 강해진다.
19,Shield Dust,인분,PASSIVE,EFFECT_IMMUNITY,SECONDARY,,,,SELF,Protective dust shields the Pokemon from the additional effects of moves.,인분에 보호받아 기술의 추가 효과를 받지 않게 된다.
20,Own Tempo,마이페이스,PASSIVE,STATUS_IMMUNITY,STATUS_LIST,"CONFUSION,INTIMIDATE",,,SELF,"The Pokemon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate.",마이페이스라서 혼란 상태가 되지 않는다. 위협을 당해도 동요하지 않는다.
21,Suction Cups,흡반,PASSIVE,MOVE_IMMUNITY,FORCED_SWITCH,,,,SELF,The Pokemon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out.,흡반으로 지면에 달라붙어 포켓몬을 교체시키는 기술이나 도구의 효과를 발휘하지 못하게 한다.
22,Intimidate,위협,ON_SWITCH_IN,STAT_CHANGE,ATTACK,-1,,,ALL_FOES,"When the Pokemon enters a battle, it intimidates opposing Pokemon and makes them cower, lowering their Attack stats.",등장했을 때 위협해서 상대를 위축시켜 상대의 공격을 떨어뜨린다.
23,Shadow Tag,그림자밟기,ON_SWITCH_IN,TRAP,ALL,,,,FOE,The Pokemon steps on the opposing Pokemon's shadows to prevent them from fleeing or switching out.,상대의 그림자를 밟아 도망치거나 교체할 수 없게 한다.
24,Rough Skin,까칠한피부,ON_CONTACT,DAMAGE,MAX_HP_PERCENT,0.125,,,ATTACKER,The Pokemon's rough skin damages attackers that make direct contact with it.,접촉한 상대에게 최대 HP의 1/8 데미지를 준다.
25,Wonder Guard,불가사의부적,PASSIVE,DAMAGE_IMMUNITY,NOT_SUPER_EFFECTIVE,,,,SELF,Its mysterious power only lets supereffective moves hit the Pokemon.,효과가 굉장한 기술만 맞는 불가사의한 힘.
26,Levitate,부유,PASSIVE,TYPE_IMMUNITY,GROUND,,,,SELF,"By floating in the air, the Pokemon receives full immunity to all Ground-type moves.",땅에서 뜨는 성질 때문에 땅타입의 기술로 공격받지 않는다.
27,Effect Spore,포자,ON_CONTACT,MULTI_STATUS,STATUS_LIST,"POISON,PARALYSIS,SLEEP",PROBABILITY_PER_STATUS,0.1,ATTACKER,"Contact with the Pokemon may inflict poison, sleep, or paralysis on the attacker.","공격으로 자신에게 접촉한 상대를 독이나 마비, 잠듦 상태로 만들 때가 있다."
28,Synchronize,싱크로,ON_STATUS,STATUS_TRANSFER,PRIMARY,,,,ATTACKER,"If the Pokemon is burned, paralyzed, or poisoned by another Pokemon, that Pokemon will be inflicted with the same status condition.","자신이 걸린 독이나 마비, 화상을 상대에게 옮긴다."
29,Clear Body,클리어바디,PASSIVE,STAT_MODIFIER_IMMUNITY,ANY_LOWER,,,,SELF,Prevents other Pokemon's moves or Abilities from lowering the Pokemon's stats.,상대 기술이나 특성으로 능력이 떨어지지 않는다.
30,Natural Cure,자연회복,ON_SWITCH_OUT,STATUS_HEAL,PRIMARY,,,,SELF,The Pokemon's status conditions are cured when it switches out.,지닌 포켓몬으로 돌아오면 상태 이상이 회복된다.
