id,name_en,name_kr,trigger,category,param_1,param_2,target,description_en,description_kr,
1,Stench,악취,PASSIVE,EFFECT_CHANCE_MOD,FLINCH,0.1,SELF,"By releasing a stench when attacking, the Pokemon may cause the target to flinch.","공격 시 악취를 풍겨 상대를 풀죽게 할 때가 있으며, 필드에서 야생 포켓몬 조우율을 낮춘다.",
2,Drizzle,잔비,ON_SWITCH_IN,WEATHER_CHANGE,RAIN,5,FIELD,The Pokemon makes it rain when it enters a battle.,배틀에 나가면 날씨를 비로 바꾼다.,
3,Speed Boost,가속,ON_END_TURN,STAT_CHANGE,SPEED,1,SELF,The Pokemon's Speed stat is boosted every turn.,매 턴 스피드가 1랭크씩 올라간다.,
4,Battle Armor,전투무장,PASSIVE,EFFECT_IMMUNITY,CRITICAL_HIT,0,SELF,Hard armor protects the Pokemon from critical hits.,단단한 갑옷에 싸여 상대의 공격이 급소에 맞지 않는다.,
5,Sturdy,옹골참,PASSIVE,SURVIVE_LETHAL,1,0,SELF,The Pokemon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.,HP가 꽉 찼을 때 기술을 받아도 일격에 쓰러지지 않는다. 일격필살 기술의 효과도 받지 않는다.,
6,Damp,습기,PASSIVE,MOVE_IMMUNITY,EXPLOSION,0,FIELD,"The Pokemon dampens its surroundings, preventing all Pokemon from using explosive moves such as Self-Destruct.",주변을 습하게 함으로써 자폭 등 폭발하는 기술을 아무도 못 쓰게 한다.,
7,Limber,유연,PASSIVE,STATUS_IMMUNITY,PARALYSIS,0,SELF,The Pokemon's limber body prevents it from being paralyzed.,유연한 몸으로 인해 마비 상태가 되지 않는다.,
8,Sand Veil,모래숨기,ON_WEATHER,STAT_MODIFIER,EVASION,1.25,SELF,Boosts the Pokemon's evasiveness in a sandstorm.,모래바람일 때 회피율이 올라간다.,
9,Static,정전기,ON_CONTACT,PRIMARY_STATUS,PARALYSIS,0.3,ATTACKER,The Pokemon is charged with static electricity and may paralyze attackers that make direct contact with it.,정전기를 몸에 둘러 자신에게 접촉한 상대를 마비시킬 때가 있다.,
10,Volt Absorb,축전,ON_HIT_BY_TYPE,HEAL,ELECTRIC,0.25,SELF,"If hit by an Electric-type move, the Pokemon has its HP restored instead of taking damage.",전기타입의 기술로 공격받으면 데미지를 받지 않고 회복한다.,
